source_id,ra,dec,bp_rp,parallax,parallax_error,parallax_over_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,ruwe,radial_velocity,dist
66715208773782912,56.84288916450584,24.117830921876983,0.3741569519042969,,,,21.103065490722656,20.63013458251953,20.255977630615234,,,0.006602094188991103
66715105696289024,56.837760020213594,24.116067483641807,0.009374141693115234,7.199902345703015,0.05976036563515663,120.47956085205078,6.298830032348633,6.292353630065918,6.282979488372803,1.1579439640045166,,0.011195421828266274
66714452859095296,56.851673685586746,24.104913642144737,0.8743801116943359,-0.5476448036191269,0.4724535048007965,-1.1591507196426392,19.414461135864258,19.869428634643555,18.99504852294922,1.0841253995895386,,0.011847657070126182
66714487218820864,56.862712615758774,24.121038791713346,1.3845157623291016,0.14501306408146952,0.42025190591812134,0.345062255859375,19.317068099975586,20.01791000366211,18.633394241333008,0.8933558464050293,,0.012392961080310823
66714384141811712,56.85677438391798,24.10426661074444,1.5220670700073242,1.9847748653778396,0.0647345557808876,30.660205841064453,15.897184371948242,16.557113647460938,15.035046577453613,1.0533469915390015,,0.013849816813667629
66715208774291968,56.835615577681644,24.122902734793193,2.750547409057617,,,,20.689239501953125,22.075944900512695,19.325397491455078,,,0.014542897104710585
66715243135238912,56.849720188322955,24.13230864430045,1.5595216751098633,2.199111700879802,0.04780931770801544,45.997554779052734,15.423152923583984,16.111162185668945,14.551640510559082,1.2515175342559814,,0.015647438515896898
66715105694123520,56.82982016982982,24.118065523980025,1.054330825805664,-0.696621516812985,0.5334397554397583,-1.305904746055603,19.548358917236328,19.779155731201172,18.724824905395508,0.9100430607795715,,0.018479514113311838
66714418501518848,56.87239647545671,24.114112461279156,2.0878820419311523,7.311236732528621,0.09593116492033005,76.21336364746094,16.843013763427734,17.596237182617188,15.508355140686035,0.916530191898346,,0.02059252028742833
66714384139954816,56.862005757399984,24.09750994982646,0.15673828125,,,,20.8747501373291,17.576677322387695,17.419939041137695,,,0.02206296535922826
66715174415766144,56.82575575197103,24.11849678004517,1.5974922180175781,2.7522242765355425,0.034656476229429245,79.4144287109375,15.194071769714355,15.947406768798828,14.34991455078125,0.8954982161521912,,0.022211637751343116
66714384142368256,56.87125084725649,24.10493447522506,0.14834332466125488,,,,2.896131992340088,3.0265331268310547,2.8781898021698,,,0.02266053498750619
66715105694124928,56.82503612242155,24.114325760097955,2.4935779571533203,0.25439801179907295,0.7325282692909241,0.3472876250743866,19.925125122070312,21.352962493896484,18.859384536743164,1.0894889831542969,,0.02291259097462892
66714281062596736,56.85273970848359,24.09129593575219,1.1672496795654297,1.8006612079289792,0.01930321753025055,93.282958984375,13.740361213684082,14.239714622497559,13.072464942932129,1.0652202367782593,-128.49851989746094,0.02548968275477175
66714865178148224,56.87614465716478,24.128238550822186,2.3102970123291016,3.4162561739601327,0.14505520462989807,23.551420211791992,17.568025588989258,18.732646942138672,16.42234992980957,1.0391749143600464,,0.02651377128690551
66714281062569600,56.85831297825326,24.09113849428959,1.3117914199829102,0.10550728390826611,0.04428839311003685,2.3822784423828125,15.71143913269043,16.237735748291016,14.925944328308105,1.0609508752822876,,0.02662671228904664
66714796458639872,56.8790013973075,24.120251685526025,0.9445037841796875,0.5679944203235502,0.038178008049726486,14.877528190612793,15.419917106628418,15.783150672912598,14.83864688873291,0.914824366569519,,0.02670392438364611
66715174415766656,56.82045603037588,24.11447098295096,1.4554100036621094,0.8913433034647448,0.10821649432182312,8.23666763305664,17.353490829467773,18.02285385131836,16.56744384765625,0.942999541759491,,0.027062327948568915
66714315420148224,56.840577475434486,24.090873634137548,1.1041908264160156,0.1580615922532367,0.5811424851417542,0.2719842493534088,19.765077590942383,20.15602684020996,19.051836013793945,0.9090415835380554,,0.027188701630805428
66714418499341184,56.88036683835673,24.11409330103525,0.4401569366455078,0.13168428062029544,0.3836650848388672,0.34322717785835266,18.723405838012695,18.15915298461914,17.718996047973633,1.151009202003479,,0.02782759356514936
